,cod_casa,habitaciones,banos,area,zipcode,precio
0,OC4U9J6C11R5715,4,4.0,4053,85255,869500
1,CQF44W2LE3S3NSC,4,3.0,3343,36372,865200
2,LT2Z9MOPF5KIM7T,3,4.0,3923,85266,889000
3,VUCNPXL2QMIA22A,5,5.0,4022,85262,910000
4,9CWP6T0SBBLGDBL,3,4.0,4116,85266,971226
6,W4MTH98D2INYX1L,3,4.0,2544,85262,799000
7,56YWYJVQXN6CQCH,4,5.0,5524,85266,1698000
8,K56Z7PHF36PHWF2,3,4.0,4229,85255,1749000
9,A6NMU8MK7WSHX5L,4,5.0,3550,85262,1500000
10,ZGXT4BFZ2E655SC,5,5.0,4829,85266,519200
11,1HZ0L5PUWSLCAZ2,4,4.0,3428,85255,1039000
12,JMVXAKVRVAXPLDS,5,3.0,5462,85266,799000
13,ZTF5ZVZG9QDTGJY,4,4.0,4021,85266,889000
14,P3W5I0ZTP5GX6VX,5,5.0,4406,85266,700000
15,JN41ITNNF4E8ZRO,4,4.0,3721,85255,500000
16,4KCQVM4NUCPV78N,5,3.0,3710,85331,740000
17,ZXXV7ZYHO1DHIAC,3,4.0,2748,85255,725000
19,F1BLWYF6IHSW7S4,3,3.5,4143,85266,925000
20,ME5JJYWIV1T3P0E,3,3.5,4229,85255,1749000
22,I568FEC6OVFOCD8,3,3.0,2685,85255,799900
23,ISLUJCB3ANGR28E,5,5.0,5677,85377,1375000
24,1UCKEG3053YCRN1,4,4.5,4031,85262,1345000
25,COZK137C0AMSOAA,4,4.0,4954,85262,1290000
26,55Y8BPUT85A3X1S,4,4.5,3550,85262,962500
27,KF4YC2RRB25ALL4,5,4.5,4180,85266,875000
29,H8JM6B0WU05OMUG,5,4.5,4829,85266,1199000
30,VDAUFBE3BZQNM9W,5,3.0,2520,93446,789000
31,88E0BLIJ6VUSJ2X,4,3.5,3428,85255,1039000
32,T8XMGG0Z1FB3C39,3,2.0,1802,93446,365000
33,JPK8W5Z8LFJEMGN,3,3.5,2873,85262,1695000
34,FL1A63K1NP1KI6B,4,4.0,3260,85377,999000
36,XEPQGNY2NUBJ9FO,5,5.5,3932,85262,1089000
38,2BH2TU33WL8U31W,3,4.5,4228,85255,1229000
39,Z8FVKZH341BAN0B,3,3.0,2146,93446,455000
40,PR4RVPF9D0VZKV9,4,1.0,9583,98021,395000
41,FZFBGHLP8HZGZIX,5,2.0,7627,98021,638940
42,GG827VNTOILD99D,3,2.0,2153,98021,435000
43,UWNX0YQ5BJN4MQV,3,2.5,2014,98021,528800
44,K57E06BN18F3HGG,4,2.0,1928,81524,350000
46,Y29VMC8JOS4X91G,4,3.0,2504,81524,500000
47,0DCTOY3ZHUO7UCZ,3,3.0,2462,81524,589900
48,QXUTCKF3TFB0ONF,4,3.0,3904,81418,419000
49,ATUC7K2CQM079K4,3,2.0,2034,81418,415000
50,ODSSUWW2N210UPF,3,2.0,1594,81521,214900
51,6V20QTU6MRYQODP,4,2.0,2957,81524,699900
52,XZW0JR05S1JJ9PI,3,3.0,1894,81524,449000
53,02TSHVPNTVWBR5J,4,2.0,2128,81524,249900
55,58EXY6KHWNNHT14,3,3.0,2836,81524,535000
56,EL2VA53707TGWC9,4,3.0,2174,81524,439900
57,4ABCOVLQJ9UPYTA,3,2.0,1508,81524,450000
58,14JKZ4JOQF9APY1,3,2.0,2288,62214,196000
59,K9RQJNWY1UHPZ1S,3,2.0,1709,62234,104900
60,2TMUKD70165DUXH,3,2.5,1776,62034,209900
61,N268TYN3NVUQM4F,5,3.5,4560,62025,520000
62,676CTOM6VBWFXGM,4,3.0,2686,62025,249900
63,HR1IG7AXG7HO6L6,3,2.0,1201,62088,119000
64,DDY4HPMRMRXO75M,4,2.5,2850,62234,218000
65,HNJVXA8OKOTOB18,4,3.5,3768,62234,254900
66,I8EV43ANDD04TSA,3,2.5,2750,62234,219500
67,5X26GYRL69K9KQA,4,3.0,2851,62234,186500
69,4Q1XP1V23OMQEA2,4,4.5,3740,62249,339900
70,KO6PYVDMSTQTEZV,3,2.5,3233,62234,259000
71,UAEDVQ7NIETB0WX,3,2.0,2288,62214,196000
72,CUK39BN0Y6TAVJW,4,3.0,2256,62214,144900
73,7QOCUTL4X1ETCLP,3,2.0,2154,60002,349900
74,J8GVH01NR8SZ7XO,4,3.5,2116,60002,229000
75,5T6X6HSFAMKSBUW,3,2.0,1600,62214,184900
76,OKVCTN1LOLI7RKS,3,2.5,2172,60002,225000
78,OGEIWNUCLINIUIQ,4,2.0,7841,60016,299000
79,96WU1OZSC6HYNUA,3,2.0,1200,60016,224900
80,K76PL2LV9F8ZTK7,4,2.5,2464,91901,599000
81,LPRA4EPRWO7UHV7,2,2.0,1845,91901,529800
82,2NZNJ66FOF1IZPQ,2,1.0,1184,91901,397500
83,7FNMYGQZ9O76EEO,4,2.5,3060,91901,699999
85,28KQ1F7MPO8BN1M,3,2.0,1706,91901,529000
87,M2UH0E4AF3XUJDC,4,3.5,3029,91901,825000
90,V7GV3PU8H5IBPN4,4,3.5,3328,91901,1095000
93,RSUBRIPDYYPZWLK,2,2.5,1499,91901,539000
94,B3HXIZT37J3VLWQ,3,2.0,960,91901,65000
95,9KQ4WWP0VTZ7OND,3,2.0,2671,91901,521500
98,PF8N0GW2JQM86YJ,4,2.5,3115,93446,629000
99,NE6OAS331RQTXYQ,4,3.5,3426,91901,679000
102,10P531XVTK35SHK,2,2.0,1005,91901,245900
103,6CSVOO8UE08EB2Y,4,2.5,2726,91901,644900
104,VRMC8REHSBK7W2I,3,3.0,1937,91901,895000
106,NLIOM51V2BOGKR0,3,2.0,1826,93446,529000
107,XCAEJGAQR8U3M9U,4,3.5,1084,91901,875000
108,3P3LNFUYUQU7PZM,4,3.0,3706,91901,848000
109,SHPSVSNWD2AESIF,5,4.5,4874,91901,1499000
110,05JQH99WWHT1C8A,4,3.0,3277,91901,669000
112,57TIEM0W1SLSAZR,5,3.5,3778,91901,949000
114,7DRNNKR0UCAM9BR,3,2.0,1382,92021,429900
115,G6Y4KEJA5IT0SGN,3,2.5,3300,92021,935000
116,1WHPYZ8M79SHRTY,4,2.0,1771,92021,475000
117,DA9EY0RHZN9R5VN,3,2.5,1915,92021,485000
118,5VV3YTPAZB3PORW,3,2.5,1680,92021,389000
119,ACP8LKHRQ6M2MZ4,4,2.0,1696,92021,379000
120,LCQS80F723UQETE,4,2.0,2150,92021,578000
